,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
314,sola,26582,4625,7655,4801,2493,129,67 405,"69,7","12,3","80,1",84,"3,7",61 191,74 279,74 235
315,solund,820,196,295,119,26,2,1 912,"79,9","5,5","80,3","85,2","17,4",112 878,159 613,130 841
316,songdalen,6706,1565,2352,907,185,35,17 647,"67,6",16,"79,7","83,7","0,5",71 837,83 378,83 090
317,sortland,10518,2867,3202,1677,413,46,23 754,"80,9","7,1",79,"83,3","2,3",79 763,97 880,95 741
318,spydeberg,6042,1454,1968,863,269,26,12 299,"75,7","9,3","79,1","82,8",1,59 717,81 750,81 517
319,stange,20916,5186,6472,3663,1020,105,30 536,"75,6","9,8","78,9",83,"1,5",60 304,85 869,85 008
320,stavanger,134037,23351,34346,28380,17115,778,279 251,"64,1","14,1","80,1",84,"3,5",60 830,81 170,80 755
321,steigen,2576,744,887,367,83,17,5 401,"80,2","4,3",79,"83,3","9,2",105 101,121 497,112 391
322,steinkjer,22090,4764,7798,4024,986,75,57 339,"83,3","5,6","79,8",84,"2,1",88 825,92 888,90 950
323,stjordal,24028,4968,8217,4134,1136,95,51 395,"81,3","7,1","79,8",84,"3,1",83 160,82 487,79 155
324,stord,18699,3554,6299,3550,979,59,27 673,"78,6","8,8",80,"84,3","0,2",101 604,80 807,79 718
325,stordal,947,243,376,131,30,1,5 603,"81,5",6,"80,6","84,7","-1,9",145 564,123 774,126 249
326,stor-elvdal,2459,707,905,382,125,8,5 765,"77,5","4,8","78,9",83,"-0,2",63 206,108 050,110 210
327,storfjord-omasvuotna-omasvuono,1841,571,601,290,40,7,2 624,"86,2","3,4","79,6","83,9","1,2",111 382,123 489,121 924
328,strand,12720,2995,4162,1850,471,47,49 243,"78,4","9,3","80,1",84,"3,3",59 666,83 013,80 411
329,stranda,4565,1087,1806,691,175,7,7 457,"76,1","8,5","80,6","84,7","2,9",151 467,93 236,88 785
330,stryn,7144,1414,2698,1167,291,35,22 230,"78,1","6,4","80,3","85,2","2,5",67 706,91 192,87 591
331,sula,9271,1910,2824,1655,288,40,23 156,"76,2","10,9","80,6","84,7","-1,3",94 574,76 338,77 402
